epoch,seconds,loss_D,loss_D_real,loss_D_fake,loss_G,loss_G_GAN,loss_G_L1,loss_G_FM,val_mae,val_psnr,val_ssim
14,252.86,0.07812871167968427,0.08325305507252259,0.0730043675750494,30.650385120936804,0.908160118332931,0.2703309329492705,0.27091316346611294,0.14765010140836238,14.82013965857313,0.27910945042967794
15,266.6,0.07723961670749954,0.08076944733038545,0.07370978592495833,30.33540599005563,0.8888418957591057,0.2677450142800808,0.2672062677996499,0.14720752288897831,14.646949630299494,0.2726168615122636
16,245.46,0.08312888726858156,0.08914126236257809,0.07711651160913918,30.094939722333635,0.8695574021765164,0.26616595786597047,0.26087865542088234,0.14688965727885564,14.702604691801081,0.26807926371693613
17,268.11,0.0877602491926934,0.0890242162958852,0.08649628230237535,30.22209110941206,0.8615406887871878,0.2678680571062224,0.2573744781315327,0.15305475654701392,14.324872594188326,0.26387894128759704
18,297.27,0.0818410774692893,0.08756240888365678,0.07611974597509419,29.870261791774205,0.8677383848599025,0.26448596811720304,0.25539265934910094,0.14837806448340415,14.755475607492661,0.27195812985301016
19,288.61,0.08324416646999973,0.08641546785033175,0.08007286580811654,29.387854712350027,0.8725215735180037,0.2601738654077053,0.24979466157300131,0.15071958253781,14.651809090016753,0.2730249745150407
20,264.67,0.07310053746082953,0.07725277374764639,0.06894830093452974,29.57057993752616,0.88101960676057,0.2619928018323013,0.24902802109718322,0.14873669830461342,14.67292835369208,0.2632962591946125
21,230.36,0.0738437886748995,0.07836757729362165,0.06931999975017139,29.084440674100602,0.8850195232246604,0.25739330223628454,0.24600909522601536,0.15109747300545376,14.558491581583606,0.2812211136023203
22,244.19,0.06997662778677685,0.07298967905475624,0.06696357620613916,28.895160559245518,0.8966595198426928,0.25572282879480296,0.2426218181848526,0.14624586068093776,14.66116361344436,0.2791182075937589
23,275.56,0.07773603021300264,0.08048820366550768,0.0749838564345347,28.645706176757812,0.8782852186688355,0.2536744456206049,0.23999766324247632,0.14431438160439333,14.792119811604893,0.27938093269864717
24,305.04,0.06370490794070065,0.0669751878362149,0.0604346278788788,28.556757463727678,0.9133850904447692,0.2525247081049851,0.239090161131961,0.14638088854650658,14.612313471588319,0.28205139115452765
25,260.94,0.061583340633660555,0.061694106672491346,0.061472574029383914,28.289814158848355,0.9078285979373114,0.2502406434289047,0.23579211586288043,0.1460041935245196,14.611220307939611,0.2787336188058058
26,269.64,0.057374807719939525,0.060013654129579666,0.054735961217167124,28.103912346703666,0.9086730444005557,0.24864043944648334,0.23311954396111625,0.1457619955142339,14.620923886134927,0.27826801463961603
27,281.03,0.05798054682756109,0.05887242942782385,0.05708866376828935,27.87855135372707,0.9095485929931914,0.24643091346536364,0.23259114612426077,0.14691687002778053,14.55924856064541,0.2806595531602701
28,334.85,0.05136754540726542,0.05173156441056303,0.05100352659688464,27.992114325932093,0.9289891038622174,0.24725323915481567,0.2337801304246698,0.14568909245232742,14.645228489628813,0.2772981899480025
29,489.4,0.05201943333127669,0.055163393981222594,0.048875472541632395,27.26784042630877,0.9215136336428779,0.2407702547098909,0.22693014038460596,0.1410356465727091,14.862531532997053,0.288576619575421
30,282.4,0.051560407557657784,0.056117317918688056,0.04700349751593811,27.367971079690115,0.9355826820646014,0.24141660087874958,0.2290728394474302,0.140941638002793,15.025187737845112,0.2867625616490841
31,307.11,0.04193734045007399,0.0429350002668798,0.04093968054678823,27.09841663496835,0.9469443766134126,0.23861045081700596,0.22904270770294324,0.13814124688506127,15.135229257619358,0.2816719926893711
32,285.54,0.05016077165491879,0.05422722520306707,0.04609431833294886,27.23146970612662,0.9391217640468053,0.2402024001415287,0.22721080194626536,0.13878126728037993,15.01654981335313,0.2883835492034753
33,317.26,0.04369009650046272,0.04580201066897384,0.04157818266124066,26.611396408081056,0.9417123841387885,0.2343079589307308,0.22388881423643658,0.14112255908548832,15.017162635718279,0.2835764336089293
